tier,tool_name,description,data_source,status,keywords,winner 
Tier 1 - Calculator Extensions,ASIN Fee Lookup,Type ASIN -> real weight/dims/category -> full fee estimate,Catalog API + rate card,in progress,amazon asin fee calculator | amazon fee calculator by asin | check amazon fees for product | amazon fba fee calculator india | asin fee estimator | amazon referral fee calculator,amazon fba fee calculator india
Tier 1 - Calculator Extensions,Break-even Price Calculator,What selling price do I need to hit X% margin after fees + cost?,Existing engine inverted,planned,amazon break even calculator | minimum selling price amazon | amazon break even price fba | what price to sell on amazon | amazon selling price calculator with margin,
Tier 1 - Calculator Extensions,Pricing Optimizer,Sweep a price range -> show margin curve and find profit-maximizing price,Existing engine loop,planned,amazon pricing calculator | best price for amazon product | amazon profit calculator price range | amazon pricing strategy tool | maximize amazon margin,amazon pricing calculator | best price for amazon product | amazon profit calculator price range
Tier 1 - Calculator Extensions,FBA vs Easy Ship vs Self Ship comparison,Compare fulfilment channels side by side,Existing engine,live,fba vs easy ship vs self ship | amazon fulfillment fee comparison | easy ship vs fba fees india | self ship vs fba amazon | which amazon fulfillment is cheaper,
Tier 1 - Calculator Extensions,GST on Ecommerce Calculator,18% GST on fees + GST on sale vs input credit and net GST outgo,Rate card + GST logic,planned,gst calculator for amazon sellers | gst on amazon fees | ecommerce gst calculator | gst on marketplace fees | amazon gst invoice calculator,
Tier 2 - Reconciliation,Settlement Report Analyzer,Upload Amazon settlement CSV -> clean per-order breakdown of fees GST TCS/TDS payouts,SP-API Reports / manual upload,planned,amazon settlement report analyzer | amazon settlement reconciliation tool | amazon payout report breakdown | amazon settlement fees explained | amazon disbursement report tool,"not specift to our list , but settlement report has more keywrod serach "
Tier 2 - Reconciliation,TCS/TDS Tracker,Track 1% TCS / 0.1% TDS deducted by Amazon and show annual total for ITR claim,Settlement data,planned,amazon tcs tds calculator | tcs on amazon sales 1% | amazon tds 194o claim | tcs tds amazon seller | amazon itr tcs credit,
Tier 2 - Reconciliation,Payout Reconciliation,Match expected payout vs actual and flag mismatches returns reimbursements,SP-API Finances API,planned,amazon payout reconciliation | amazon payment reconciliation tool | reconcile amazon payouts | amazon payment mismatch checker | amazon settlement vs payout,payout reconciliation 
Tier 3 - Understand,Profitability Dashboard (demo),Interactive mock of the DeepEcom Platform - revenue costs margin by channel,Demo data + engine,planned,amazon profitability dashboard | ecommerce profit dashboard | amazon seller profit tracker | marketplace profitability tool,amazon profitability dashboard
Tier 3 - Understand,Category Margin Benchmark,Typical fees + margins for categories like mobile accessories vs apparel,234-category rate card,planned,amazon category fees comparison | amazon referral fee by category | amazon category margin benchmark | profit margin by amazon category,amazon referral fee by category
Tier 4 - ERP Connector Proof,Accounting Entry Generator,Take an order -> produce the actual ERP journal with debit/credit lines GST-wise,Engine + accounting rules,planned,amazon accounting entries generator | ecommerce accounting journal entries | amazon order accounting entry | auto generate erp entries amazon,
Tier 4 - ERP Connector Proof,Tally/Zoho Import Preview,Show what a reconciled transaction looks like before importing,Static demo,planned,tally integration for amazon | zoho books amazon integration | amazon to tally reconciliation | erp connector for ecommerce | amazon accounting to tally,amazon accounting to tally
