Keyword Stats 2026-09-15 at 17_24_18,,,,,,,,,,,,,,,,,,,,,,,,,
"September 1, 2025 - August 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026,Searches: Apr 2026,Searches: May 2026,Searches: Jun 2026,Searches: Jul 2026,Searches: Aug 2026
ecommerce finance,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
ecommerce accounting,INR,500,0%,0%,Low,3,19.53,85.79,,,,,,,,,,,,,,,,,
ecommerce business,INR,50000,0%,0%,Low,22,4.82,46.68,,,,,,,,,,,,,,,,,
ecommerce businesses,INR,500,0%,0%,Low,20,14.44,136.74,,,,,,,,,,,,,,,,,
ecommerce marketplace,INR,500,0%,0%,Low,7,15.23,44.85,,,,,,,,,,,,,,,,,
e commerce finance,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
ecommerce erp,INR,500,0%,0%,Low,11,35.89,271.77,,,,,,,,,,,,,,,,,
accounting for ecommerce business,INR,50,0%,0%,Low,9,21.27,42.14,,,,,,,,,,,,,,,,,
e commerce account,INR,50,0%,0%,Low,13,15.84,136.48,,,,,,,,,,,,,,,,,
ecommerce data,INR,500,0%,0%,Low,6,46.82,257.98,,,,,,,,,,,,,,,,,
ecommerce company,INR,5000,0%,0%,Low,6,16.39,106.27,,,,,,,,,,,,,,,,,
ecommerce payment,INR,500,0%,0%,Low,9,28.21,207.85,,,,,,,,,,,,,,,,,
e commerce accounting entries,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ecommerce business financing,INR,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
amazon sales,INR,50000,900%,900%,Low,32,9.55,9.61,,,,,,,,,,,,,,,,,
amazon e commerce business,INR,500,0%,0%,Low,19,9.26,43.00,,,,,,,,,,,,,,,,,
ecommerce seller,INR,500,900%,900%,Low,8,12.62,73.81,,,,,,,,,,,,,,,,,
e commerce,INR,500000,0%,-90%,Low,6,10.87,63.07,,,,,,,,,,,,,,,,,
ecommerce brand,INR,500,0%,0%,Low,1,13.70,138.25,,,,,,,,,,,,,,,,,
erp marketplace,INR,50,0%,-90%,Low,6,29.47,120.28,,,,,,,,,,,,,,,,,
about e commerce business,INR,500,0%,-90%,Low,21,0.94,27.97,,,,,,,,,,,,,,,,,
amazon businesses,INR,50000,0%,0%,Low,29,91852.17,92272.74,,,,,,,,,,,,,,,,,
connect ecommerce,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
erp for ecommerce business,INR,50,0%,0%,High,68,31.66,222.27,,,,,,,,,,,,,,,,,
accounting for amazon sellers,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
about e commerce,INR,500,0%,0%,Low,3,0.95,61.72,,,,,,,,,,,,,,,,,
the ecommerce accountants,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ecommerce amazon business,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
payment reconciliation,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
e commerce books,INR,500,0%,0%,Low,29,0.85,17.20,,,,,,,,,,,,,,,,,
e commerce amazon,INR,500,0%,0%,Low,23,2.40,36.28,,,,,,,,,,,,,,,,,
